,
Trade Date, Close 
4/21/20, $143.27 
4/22/20, $150.25 
4/23/20, $169.09 
4/24/20, $158.80 
4/27/20, $164.60 
4/28/20, $156.72 
4/29/20, $146.48 
4/30/20, $135.17 
5/1/20, $138.56 
5/4/20, $143.44 
5/5/20, $144.82 
5/6/20, $149.59 
5/7/20, $157.80 
5/8/20, $155.40 
