Date,Open,High,Low,Close,Adj Close,Volume
2019-05-01,57.230000,60.540001,54.259998,54.349998,52.121655,309139500
2019-06-01,54.680000,58.669998,54.560001,57.130001,54.787678,261156100
2019-07-01,57.419998,58.509998,54.560001,55.270000,53.003937,267342600
2019-08-01,57.110001,58.410000,54.410000,58.160000,56.362045,277684500
2019-09-01,57.900002,61.000000,57.590000,60.360001,58.494038,208337000
2019-10-01,60.400002,61.320000,58.330002,60.470001,58.600636,255517200
2019-11-01,61.290001,61.340000,58.799999,60.240002,58.985184,208937700
2019-12-01,60.200001,62.220001,59.580002,61.400002,60.121017,238202500
2020-01-01,61.380001,61.450001,58.340000,59.439999,58.201843,279657000
2020-02-01,59.610001,60.349998,52.180000,54.160000,53.583729,324785500
2020-03-01,55.160000,58.250000,48.840000,53.730000,53.158306,704952900
2020-04-01,52.500000,58.020000,52.160000,57.799999,57.184998,116739600
2020-04-09,56.910000,58.099998,56.880001,57.439999,57.439999,18938536
