Date,Close
1/2/19, $101.43 
1/3/19, $98.31 
1/4/19, $101.78 
1/7/19, $102.42 
1/8/19, $103.19 
1/9/19, $102.70 
1/10/19, $103.83 
1/11/19, $103.53 
1/14/19, $103.66 
1/15/19, $104.71 
1/16/19, $103.67 
1/17/19, $104.21 
1/18/19, $105.84 
1/22/19, $105.34 
1/23/19, $105.89 
1/24/19, $105.16 
1/25/19, $105.43 
1/28/19, $104.29 
1/29/19, $103.59 
1/30/19, $105.52 
1/31/19, $104.53 
2/1/19, $107.20 
2/4/19, $108.97 
2/5/19, $109.90 
2/6/19, $109.70 
2/7/19, $108.67 
2/8/19, $109.00 
2/11/19, $109.10 
2/12/19, $106.55 
2/13/19, $106.79 
2/14/19, $106.30 
2/15/19, $108.93 
2/19/19, $108.71 
2/20/19, $107.06 
2/21/19, $107.12 
2/22/19, $107.09 
2/25/19, $106.79 
2/26/19, $106.81 
2/27/19, $107.21 
2/28/19, $108.15 
3/1/19, $108.39 
3/4/19, $107.32 
3/5/19, $106.89 
3/6/19, $106.60 
3/7/19, $105.65 
3/8/19, $105.71 
3/11/19, $107.04 
3/12/19, $107.37 
3/13/19, $107.60 
3/14/19, $107.78 
3/15/19, $108.88 
3/18/19, $108.12 
3/19/19, $106.60 
3/20/19, $106.75 
3/21/19, $110.16 
3/22/19, $110.41 
3/25/19, $108.42 
3/26/19, $109.91 
3/27/19, $109.97 
3/28/19, $111.18 
3/29/19, $113.10 
4/1/19, $113.78 
4/2/19, $114.12 
4/3/19, $114.93 
4/4/19, $114.03 
4/5/19, $113.39 
4/8/19, $113.65 
4/9/19, $113.76 
4/10/19, $112.38 
4/11/19, $112.90 
4/12/19, $113.16 
4/15/19, $113.14 
4/16/19, $111.58 
4/17/19, $111.10 
4/18/19, $110.89 
4/22/19, $112.21 
4/23/19, $112.80 
4/24/19, $112.04 
4/25/19, $111.55 
4/26/19, $110.90 
4/29/19, $111.54 
4/30/19, $115.93 
5/1/19, $115.22 
5/2/19, $117.80 
5/3/19, $117.76 
5/6/19, $117.32 
5/7/19, $115.89 
5/8/19, $116.14 
5/9/19, $115.87 
5/10/19, $116.72 
5/13/19, $115.45 
5/14/19, $116.92 
5/15/19, $117.25 
5/16/19, $119.10 
5/17/19, $118.73 
5/20/19, $118.32 
5/21/19, $120.41 
5/22/19, $121.00 
5/23/19, $120.41 
5/24/19, $118.74 
5/28/19, $119.35 
5/29/19, $119.07 
5/30/19, $119.55 
5/31/19, $120.30 
6/3/19, $116.57 
6/4/19, $120.24 
6/5/19, $121.79 
6/6/19, $121.57 
6/7/19, $122.54 
6/10/19, $122.29 
6/11/19, $121.69 
6/12/19, $120.95 
6/13/19, $120.84 
6/14/19, $121.40 
6/17/19, $121.53 
6/18/19, $122.62 
6/19/19, $123.29 
6/20/19, $123.88 
6/21/19, $122.70 
6/24/19, $121.22 
6/25/19, $121.26 
6/26/19, $121.27 
6/27/19, $121.34 
6/28/19, $122.68 
7/1/19, $124.57 
7/2/19, $124.91 
7/3/19, $126.62 
7/5/19, $126.80 
7/8/19, $126.83 
7/9/19, $127.00 
7/10/19, $126.92 
7/11/19, $127.82 
7/12/19, $129.36 
7/15/19, $130.36 
7/16/19, $129.71 
7/17/19, $130.60 
7/18/19, $131.33 
7/19/19, $129.74 
7/22/19, $131.09 
7/23/19, $131.06 
7/24/19, $130.12 
7/25/19, $132.48 
7/26/19, $135.61 
7/29/19, $136.71 
7/30/19, $133.69 
7/31/19, $133.25 
8/1/19, $131.21 
8/2/19, $130.16 
8/5/19, $125.95 
8/6/19, $130.92 
8/7/19, $134.48 
8/8/19, $136.39 
8/9/19, $136.50 
8/12/19, $132.47 
8/13/19, $134.85 
8/14/19, $130.68 
8/15/19, $134.94 
8/16/19, $138.31 
8/19/19, $138.89 
8/20/19, $139.62 
8/21/19, $138.20 
8/22/19, $137.97 
8/23/19, $134.47 
8/26/19, $135.65 
8/27/19, $136.73 
8/28/19, $137.01 
8/29/19, $137.33 
8/30/19, $136.22 
9/3/19, $136.57 
9/4/19, $137.72 
9/5/19, $139.05 
9/6/19, $137.67 
9/9/19, $133.84 
9/10/19, $131.36 
9/11/19, $131.29 
9/12/19, $133.44 
9/13/19, $130.88 
9/16/19, $133.06 
9/17/19, $134.41 
9/18/19, $132.89 
9/19/19, $133.90 
9/20/19, $131.81 
9/23/19, $131.52 
9/24/19, $132.90 
9/25/19, $133.53 
9/26/19, $133.42 
9/27/19, $130.68 
9/30/19, $132.76 
10/1/19, $131.26 
10/2/19, $129.38 
10/3/19, $129.88 
10/4/19, $131.41 
10/7/19, $130.57 
10/8/19, $129.53 
10/9/19, $131.63 
10/10/19, $131.54 
10/11/19, $132.03 
10/14/19, $132.74 
10/15/19, $132.81 
10/16/19, $131.76 
10/17/19, $130.53 
10/18/19, $128.33 
10/21/19, $128.83 
10/22/19, $125.44 
10/23/19, $126.97 
10/24/19, $129.21 
10/25/19, $129.32 
10/28/19, $130.22 
10/29/19, $130.74 
10/30/19, $131.96 
10/31/19, $131.76 
11/1/19, $134.15 
11/4/19, $131.00 
11/5/19, $132.19 
11/6/19, $130.89 
11/7/19, $132.35 
11/8/19, $130.69 
11/11/19, $132.36 
11/12/19, $132.62 
11/13/19, $133.82 
11/14/19, $135.50 
11/15/19, $135.82 
11/18/19, $137.04 
11/19/19, $137.66 
11/20/19, $137.47 
11/21/19, $136.47 
11/22/19, $135.46 
11/25/19, $136.88 
11/26/19, $137.54 
11/27/19, $138.43 
11/29/19, $138.15 
12/2/19, $135.74 
12/3/19, $136.22 
12/4/19, $135.74 
12/5/19, $136.93 
12/6/19, $138.58 
12/9/19, $136.96 
12/10/19, $135.53 
12/11/19, $135.50 
12/12/19, $136.73 
12/13/19, $138.19 
12/16/19, $137.01 
12/17/19, $137.86 
12/18/19, $137.71 
12/19/19, $138.08 
12/20/19, $138.80 
12/23/19, $138.21 
12/24/19, $137.88 
12/26/19, $138.70 
12/27/19, $139.75 
12/30/19, $138.60 
12/31/19, $139.09 
1/2/20, $139.90 
1/3/20, $139.02 
1/6/20, $140.35 
1/7/20, $138.19 
1/8/20, $140.22 
1/9/20, $142.92 
1/10/20, $141.94 
1/13/20, $142.73 
1/14/20, $142.45 
1/15/20, $144.48 
1/16/20, $146.24 
1/17/20, $147.09 
1/21/20, $147.62 
1/22/20, $148.59 
1/23/20, $149.01 
1/24/20, $147.92 
1/27/20, $146.39 
1/28/20, $147.96 
1/29/20, $148.09 
1/30/20, $147.50 
1/31/20, $143.66 
2/3/20, $145.75 
2/4/20, $147.42 
2/5/20, $146.12 
2/6/20, $147.34 
2/7/20, $146.46 
2/10/20, $149.98 
2/11/20, $149.51 
2/12/20, $147.96 
2/13/20, $154.32 
2/14/20, $157.44 
2/18/20, $155.65 
2/19/20, $157.29 
2/20/20, $156.78 
2/21/20, $154.93 
2/24/20, $150.72 
2/25/20, $144.66 
2/26/20, $143.90 
2/27/20, $138.87 
2/28/20, $139.72 
3/2/20, $148.61 
3/3/20, $143.09 
3/4/20, $149.93 
3/5/20, $142.75 
3/6/20, $139.91 
3/9/20, $130.04 
3/10/20, $140.90 
3/11/20, $132.96 
3/12/20, $118.46 
3/13/20, $129.90 
3/16/20, $108.35 
3/17/20, $113.96 
3/18/20, $102.94 
3/19/20, $105.23 
3/20/20, $102.82 
3/23/20, $102.45 
3/24/20, $119.16 
3/25/20, $120.37 
3/26/20, $123.64 
3/27/20, $120.10 
3/30/20, $125.29 
3/31/20, $121.64 
4/1/20, $114.56 
4/2/20, $117.11 
4/3/20, $115.22 
4/6/20, $123.02 
4/7/20, $120.14 
4/8/20, $124.77 
4/9/20, $125.12 
4/13/20, $123.60 
4/14/20, $123.79 
4/15/20, $120.16 
4/16/20, $122.99 
4/17/20, $127.96 
4/20/20, $122.62 
4/21/20, $117.47 
4/22/20, $122.55 
4/23/20, $121.18 
4/24/20, $125.73 
4/27/20, $127.64 
4/28/20, $129.13 
4/29/20, $134.29 
4/30/20, $131.89 
5/1/20, $129.29 
5/4/20, $128.58 
5/5/20, $131.95 
5/6/20, $131.91 
5/7/20, $129.44 
5/8/20, $128.23 
