,,Zoom ,,Nike,,FIS,,American Air
,Date,Close,Date,Close,Date,Close,Date,Close
,,,4/16/2020 16:00:00,86.3,4/16/2020 16:00:00,122.99,4/16/2020 16:00:00,11.07
,,,4/17/2020 16:00:00,89.91,4/17/2020 16:00:00,127.96,4/17/2020 16:00:00,11.57
,,,4/20/2020 16:00:00,87.9,4/20/2020 16:00:00,122.62,4/20/2020 16:00:00,11.06
,,,4/21/2020 16:00:00,85.2,4/21/2020 16:00:00,117.47,4/21/2020 16:00:00,11
,,,4/22/2020 16:00:00,88.77,4/22/2020 16:00:00,122.55,4/22/2020 16:00:00,10.27
,,,4/23/2020 16:00:00,87.35,4/23/2020 16:00:00,121.18,4/23/2020 16:00:00,10.25
,,,4/24/2020 16:00:00,88.37,4/24/2020 16:00:00,125.73,4/24/2020 16:00:00,10.31
,,,4/27/2020 16:00:00,89.37,4/27/2020 16:00:00,127.64,4/27/2020 16:00:00,10.02
,,,4/28/2020 16:00:00,88.8,4/28/2020 16:00:00,129.13,4/28/2020 16:00:00,11.26
,,,4/29/2020 16:00:00,88.07,4/29/2020 16:00:00,134.29,4/29/2020 16:00:00,12.63
,,,4/30/2020 16:00:00,87.18,4/30/2020 16:00:00,131.89,4/30/2020 16:00:00,12.01
,,,5/1/2020 16:00:00,85.54,5/1/2020 16:00:00,129.29,5/1/2020 16:00:00,10.64
,,,5/4/2020 16:00:00,85.75,5/4/2020 16:00:00,128.58,5/4/2020 16:00:00,9.82
,,,5/5/2020 16:00:00,87.2,5/5/2020 16:00:00,131.95,5/5/2020 16:00:00,9.51
,,,5/6/2020 16:00:00,88.44,5/6/2020 16:00:00,131.91,5/6/2020 16:00:00,9.25
,,,5/7/2020 16:00:00,88.56,5/7/2020 16:00:00,129.44,5/7/2020 16:00:00,9.54
,,,5/8/2020 16:00:00,90.46,5/8/2020 16:00:00,128.23,5/8/2020 16:00:00,10.14
